Title,Description,StartTime,EndTime,Location,Speaker
Opening Keynote,A welcome address and overview of this year's conference themes,2026-03-12-0900Z0,2026-03-12-1000Z0,Main Hall,Dr. Sarah Chen
Accessibility in the Modern Web,Best practices for building inclusive digital experiences,2026-03-12-1000Z0,2026-03-12-1100Z0,Room 101,Marcus Webb
Data Privacy and You,Understanding GDPR and CCPA compliance for small organizations,2026-03-12-1100Z0,2026-03-12-1200Z0,Room 202,Priya Nair
Lunch Break,Catered lunch in the atrium,2026-03-12-1200Z0,2026-03-12-1300Z0,Atrium,
B2B SAAS applications for automated data integration to improve federal compliance,A talk about data integration,2026-03-12-1300Z0,2026-03-12-1400Z0,250A,John Apple
How About Open Source?,A cool and informative talk about open source,2026-03-12-1400Z0,2026-03-12-1430Z0,Online (Zoom),Mr. OpenSource
Intro to GraphQL,When and why to reach for GraphQL over REST,2026-03-12-1430Z0,2026-03-12-1530Z0,Room 101,Fatima Al-Rashid
Community Building Online,Strategies for sustaining engaged digital communities,2026-03-12-1530Z0,2026-03-12-1630Z0,Room 202,Jerome Okafor
Closing Reception Day 1,Networking and light refreshments,2026-03-12-1700Z0,2026-03-12-1900Z0,Rooftop Terrace,
Morning Yoga,Optional wellness session to start the day,2026-03-13-0800Z0,2026-03-13-0830Z0,Courtyard,Mei Lin
Day 2 Keynote,Emerging trends in nonprofit technology,2026-03-13-0900Z0,2026-03-13-1000Z0,Main Hall,Dr. Amara Diallo
Low-Code Tools for Non-Profits,A survey of accessible no-code and low-code platforms,2026-03-13-1000Z0,2026-03-13-1100Z0,Room 101,Steve Kowalski
Security Fundamentals,Protecting your organization from common cyber threats,2026-03-13-1100Z0,2026-03-13-1200Z0,Room 202,Nguyen Thi Lan
Lunch Break,Catered lunch in the atrium,2026-03-13-1200Z0,2026-03-13-1300Z0,Atrium,
AI Tools in the Workplace,Practical uses of AI assistants for small teams,2026-03-13-1300Z0,2026-03-13-1400Z0,Main Hall,Ravi Patel
Volunteer Coordination Software,Comparing platforms for managing large volunteer pools,2026-03-13-1400Z0,2026-03-13-1500Z0,Room 101,Carmen Reyes
Fundraising in the Digital Age,Online fundraising strategies that actually work,2026-03-13-1500Z0,2026-03-13-1600Z0,Room 202,Tobias Friedmann
Panel: Future of Remote Work,Industry leaders discuss hybrid and remote work trends,2026-03-13-1600Z0,2026-03-13-1700Z0,Main Hall,Various
Closing Keynote,Reflections and a look ahead,2026-03-13-1700Z0,2026-03-13-1800Z0,Main Hall,Dr. Sarah Chen
Workshop: Intro to Python,Hands-on beginner Python for data tasks,2026-03-14-0900Z0,2026-03-14-1100Z0,Lab A,Fatima Al-Rashid
Workshop: Mapping with Open Data,Using public datasets to tell geographic stories,2026-03-14-0900Z0,2026-03-14-1100Z0,Lab B,Jerome Okafor
Workshop: Grant Writing 101,Practical workshop on writing competitive grant proposals,2026-03-14-1100Z0,2026-03-14-1300Z0,Room 101,Priya Nair
Lunch and Unconference,Self-organized sessions and open discussion,2026-03-14-1300Z0,2026-03-14-1400Z0,Atrium,
Workshop: Figma for Non-Designers,Design fundamentals using Figma for people who aren't designers,2026-03-14-1400Z0,2026-03-14-1600Z0,Lab A,Marcus Webb
Conference Closing,Final remarks and farewell,2026-03-14-1600Z0,2026-03-14-1700Z0,Main Hall,Dr. Sarah Chen
